Date,Name,Year,Letterboxd URI,Rating,Tags,Watched_Date
2017-03-12,The Lobster,2015,https://letterboxd.com/twuyver/film/the-lobster/,4.5,,2017-03-11
2017-03-20,The Hamiltons,2006,https://letterboxd.com/twuyver/film/the-hamiltons/,2,,2017-03-19
2017-03-21,The Faculty,1998,https://letterboxd.com/twuyver/film/the-faculty/,4,"Aliens, horror, comedy",2017-03-20
2017-03-23,Mr. Brooks,2007,https://letterboxd.com/twuyver/film/mr-brooks/,3.5,Thriller,2017-03-22
2017-03-24,DragonHeart,1996,https://letterboxd.com/twuyver/film/dragonheart/,2.5,,2017-03-23
2017-03-28,Indiana Jones and the Last Crusade,1989,https://letterboxd.com/twuyver/film/indiana-jones-and-the-last-crusade/,4,Nazi's,2017-03-27
2017-03-30,Lara Croft: Tomb Raider,2001,https://letterboxd.com/twuyver/film/lara-croft-tomb-raider/,3,,2017-03-28
2017-03-30,Lara Croft Tomb Raider: The Cradle of Life,2003,https://letterboxd.com/twuyver/film/lara-croft-tomb-raider-the-cradle-of-life/,2,,2017-03-29
2017-04-01,The Girl with All the Gifts,2016,https://letterboxd.com/twuyver/film/the-girl-with-all-the-gifts/,3.5,Zombies,2017-03-31
2017-04-03,Sky Captain and the World of Tomorrow,2004,https://letterboxd.com/twuyver/film/sky-captain-and-the-world-of-tomorrow/,3,scifi,2017-04-02
2017-04-11,Vampires,1998,https://letterboxd.com/twuyver/film/vampires/,3.5,"Vampires, 90S",2017-04-10
2017-04-12,Attack the Block,2011,https://letterboxd.com/twuyver/film/attack-the-block/,4,Aliens,2017-04-11
2017-04-14,Cutthroat Island,1995,https://letterboxd.com/twuyver/film/cutthroat-island/,2.5,"90S, Pirates",2017-04-13
2017-04-17,The One,2001,https://letterboxd.com/twuyver/film/the-one/,3,"Martial art, scifi",2017-04-16
2017-04-18,Red Christmas,2016,https://letterboxd.com/twuyver/film/red-christmas/,2.5,"comedy, horror",2017-04-17
2017-04-20,Hellboy,2004,https://letterboxd.com/twuyver/film/hellboy/,4,"SciFi, superhero, Nazi's",2017-04-19
2017-04-21,Suspiria,1977,https://letterboxd.com/twuyver/film/suspiria/,5,"Giallo, Italian, Horror",2017-04-21
2017-04-21,Opera,1987,https://letterboxd.com/twuyver/film/opera/,4,"Giallo, Italian, Horror",2017-04-21
2017-04-26,Guardians of the Galaxy,2014,https://letterboxd.com/twuyver/film/guardians-of-the-galaxy/,4,"scifi, superhero",2017-04-25
2017-05-06,Zardoz,1974,https://letterboxd.com/twuyver/film/zardoz/,4,,2017-05-05
2017-05-20,Crimson Peak,2015,https://letterboxd.com/twuyver/film/crimson-peak/1/,4.5,Ghost,2017-05-19
2017-05-21,I Don't Feel at Home in This World Anymore,2017,https://letterboxd.com/twuyver/film/i-dont-feel-at-home-in-this-world-anymore/,4.5,netflix,2017-05-20
2017-05-30,Dorian Gray,2009,https://letterboxd.com/twuyver/film/dorian-gray-2009/,2.5,,2017-05-29
2017-06-10,American Ultra,2015,https://letterboxd.com/twuyver/film/american-ultra/,4,,2017-06-09
2017-06-23,Sahara,2005,https://letterboxd.com/twuyver/film/sahara-2005/,3,,2017-06-22
2017-06-25,Kong: Skull Island,2017,https://letterboxd.com/twuyver/film/kong-skull-island/,3.5,,2017-06-23
2017-06-25,Free Fire,2016,https://letterboxd.com/twuyver/film/free-fire/,4,Guns,2017-06-24
2017-07-04,Attack on Titan,2015,https://letterboxd.com/twuyver/film/attack-on-titan/,3,"japanese, martial art, scifi",2017-07-03
2017-07-18,Independence Day: Resurgence,2016,https://letterboxd.com/twuyver/film/independence-day-resurgence/,2,"scifi, aliens",2017-07-17
2017-07-19,Land of the Dead,2005,https://letterboxd.com/twuyver/film/land-of-the-dead/,4,zombies,2017-07-19
2017-07-28,Tango & Cash,1989,https://letterboxd.com/twuyver/film/tango-cash/,3,Eighties,2017-07-27
2017-08-02,TRON: Legacy,2010,https://letterboxd.com/twuyver/film/tron-legacy/,2.5,,2017-08-01
2017-08-05,Lifeforce,1985,https://letterboxd.com/twuyver/film/lifeforce/,4,"eighties, scifi",2017-08-04
2017-08-10,Okja,2017,https://letterboxd.com/twuyver/film/okja/,4.5,"scifi, korean",2017-08-09
